Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_RAVE_potential,7,0,13,9.65,773.15,80.12
MCTS_PUCT_potential,13,0,7,9.80,823.50,84.03
