Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_PUCT_potential,0,0,20,5.90,437.60,74.17
MCTS_PUCT,20,0,0,6.40,1121.25,175.20
