Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_PUCT_potential,11,0,9,7.45,619.70,83.18
MCTS_RAVE_central,9,0,11,7.40,1409.60,190.49
