Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_PUCT_potential,0,0,20,6.05,463.35,76.59
MCTS_central,20,0,0,6.55,1122.00,171.30
