Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_RAVE,1,0,19,6.30,824.80,130.92
MCTS_PUCT,19,0,1,6.75,1128.10,167.13
