Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_potential,1,0,19,6.70,510.20,76.15
MCTS_PUCT_central,19,0,1,7.15,1180.15,165.06
