Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_RAVE_central,0,0,20,5.80,765.60,132.00
MCTS_PUCT_central,20,0,0,6.30,1054.55,167.39
