Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_potential,17,0,3,8.65,700.50,80.98
MCTS_RAVE_central,3,0,17,8.30,1578.40,190.17
