Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_potential,11,0,9,8.60,693.50,80.64
MCTS_PUCT_potential,9,0,11,8.55,692.20,80.96
