Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_RAVE_potential,8,0,12,10.30,838.60,81.42
MCTS_RAVE_central,12,0,8,10.40,2117.60,203.62
