Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_PUCT_potential,0,0,20,5.30,390.10,73.60
MCTS_PUCT_central,20,0,0,5.80,973.45,167.84
