Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_potential,14,0,6,8.75,706.35,80.73
MCTS_RAVE_potential,6,0,14,8.55,652.50,76.32
