Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp1.5,13,0,7,10.95,1584.60,144.71
MCTS_exp3.0,7,0,13,10.80,1532.55,141.90
