Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp2.5,7,0,13,9.95,1445.50,145.28
MCTS_exp3.5,13,0,7,10.10,1474.00,145.94
