Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp3.0,9,0,11,10.05,1475.30,146.80
MCTS_exp3.5,11,0,9,10.10,1489.65,147.49
