Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp1.0,14,1,5,9.80,1488.20,151.86
MCTS_exp4.5,5,1,14,9.55,1392.85,145.85
