Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp0.5,5,1,14,13.95,1957.60,140.33
MCTS_exp1.0,14,1,5,14.15,2055.80,145.29
