Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp0.5,11,2,7,13.05,1881.80,144.20
MCTS_exp1.5,7,2,11,12.90,1839.95,142.63
