Tree,Wins,Draws,Losses,Avg_moves,Avg_playouts,Avg_playouts_per_move
MCTS_exp1.5,12,1,7,9.75,1480.20,151.82
MCTS_exp4.0,7,1,12,9.60,1423.90,148.32
